lr,nf,run,beta,alpha,margin,method,dataset,n_iters,n_tasks,download,exp_name,mem_size,momentum,use_augs,data_root,n_classes,subsample,task_free,wandb_log,batch_size,buffer_neg,eval_every,validation,distill_coef,incoming_neg,mir_head_only,wandb_project,load_best_args,cope_temperature,samples_per_task,buffer_batch_size,supcon_temperature,acc
0.01,20,0,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,9.4
0.01,20,2,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,14.719999999999999
0.01,20,1,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,13.559999999999999
0.01,20,0,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,12.5
0.1,20,2,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.18
0.1,20,1,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,8.0
0.1,20,0,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.1
0.1,20,2,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.44
0.1,20,1,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.14
0.1,20,0,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.640000000000001
0.1,20,2,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.540000000000001
0.1,20,1,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.340000000000001
0.1,20,0,1.0,0.75,0.2,der++,cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.339999999999999
0.001,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,35.1
0.001,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,36.839999999999996
0.001,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,37.739999999999995
0.001,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,34.5
0.001,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,36.36
0.001,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,36.0
0.001,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,32.86
0.001,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,35.58
0.001,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,33.9
0.01,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,51.28000000000001
0.01,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,53.879999999999995
0.01,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,50.88
0.01,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,50.94
0.01,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,47.14
0.01,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,48.14
0.01,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,44.86
0.01,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,41.72
0.01,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,42.58
0.1,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,34.44
0.1,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,22.060000000000002
0.1,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,34.82
0.1,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,35.239999999999995
0.1,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,35.019999999999996
0.1,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,29.7
0.1,20,2,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,33.7
0.1,20,1,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,31.78
0.1,20,0,1.0,0.75,0.2,der++,cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,25.68
0.001,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.0200000000000005
0.001,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.64
0.001,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.96
0.001,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.76
0.001,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,3.9200000000000004
0.001,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.64
0.001,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.9799999999999995
0.001,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.92
0.001,20,0,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,4.140000000000001
0.01,20,2,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,8.3
0.01,20,1,0.75,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,8.86
