H,lr,run,beta,alpha,margin,method,dataset,n_iters,n_tasks,download,exp_name,mem_size,momentum,use_augs,data_root,n_classes,n_workers,subsample,task_free,wandb_log,batch_size,buffer_neg,eval_every,validation,distill_coef,incoming_neg,mir_head_only,wandb_project,cope_temperature,samples_per_task,buffer_batch_size,supcon_temperature,acc
,0.1,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,6.958333333333334
,0.1,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,20.250000000000004
,0.1,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,7.354166666666667
,0.1,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,7.645833333333331
,0.1,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.645833333333332
,0.1,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,15.979166666666666
,0.1,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,10.6875
,0.1,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,9.5625
,0.01,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,13.64
,0.01,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,13.16
,0.01,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,12.98
,0.01,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,12.8
,0.01,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.6
,0.01,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.780000000000001
,0.01,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,12.280000000000001
,0.01,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,12.1
,0.01,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,13.2
,0.01,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,15.919999999999998
,0.01,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,13.760000000000002
,0.01,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,10.879999999999999
,0.05,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,14.620000000000001
,0.05,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,16.380000000000003
,0.05,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,14.2
,0.05,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,11.940000000000001
,0.05,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,15.059999999999999
,0.05,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,16.7
,0.05,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,13.419999999999998
,0.05,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,12.120000000000001
,0.05,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,11.819999999999999
,0.05,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,13.12
,0.05,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,11.96
,0.05,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,13.36
,0.1,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.280000000000001
,0.1,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.64
,0.1,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,10.48
,0.1,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,13.080000000000002
,0.1,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,10.86
,0.1,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.8
,0.1,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,11.579999999999998
,0.1,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,11.74
,0.1,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.86
,0.1,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,12.559999999999999
,0.1,1,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,13.379999999999999
,0.1,0,0.5,0.1,0.2,mir,split_cifar100,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,13.26
,0.01,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,40.160000000000004
,0.01,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,37.480000000000004
,0.01,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,37.82
,0.01,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,38.760000000000005
,0.01,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,44.339999999999996
,0.01,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,47.160000000000004
,0.01,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,39.0
,0.01,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,37.86
,0.01,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,39.839999999999996
,0.01,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,37.660000000000004
